node_origen,node_destino,edge_id,frecuencia_transicion,huracanes_unicos,anios_unicos,velocidad_media,velocidad_maxima,cambio_promedio_intensidad,cambio_maximo_intensidad,cambio_minimo_intensidad,cambio_promedio_presion,cambio_minimo_presion,cambio_maximo_presion,distancia_media_km,fecha_inicio,fecha_fin,era5_sst_c_media_arista,era5_sst_c_min_arista,era5_sst_c_max_arista,era5_sst_c_cobertura_arista,era5_msl_hpa_media_arista,era5_msl_hpa_min_arista,era5_msl_hpa_max_arista,era5_msl_hpa_cobertura_arista,era5_t2m_c_media_arista,era5_t2m_c_min_arista,era5_t2m_c_max_arista,era5_t2m_c_cobertura_arista,era5_d2m_c_media_arista,era5_d2m_c_min_arista,era5_d2m_c_max_arista,era5_d2m_c_cobertura_arista,era5_rh700_pct_media_arista,era5_rh700_pct_min_arista,era5_rh700_pct_max_arista,era5_rh700_pct_cobertura_arista,era5_rh500_pct_media_arista,era5_rh500_pct_min_arista,era5_rh500_pct_max_arista,era5_rh500_pct_cobertura_arista,era5_q700_kgkg_media_arista,era5_q700_kgkg_min_arista,era5_q700_kgkg_max_arista,era5_q700_kgkg_cobertura_arista,era5_vo850_s1_media_arista,era5_vo850_s1_min_arista,era5_vo850_s1_max_arista,era5_vo850_s1_cobertura_arista,era5_u850_ms_media_arista,era5_u850_ms_min_arista,era5_u850_ms_max_arista,era5_u850_ms_cobertura_arista,era5_v850_ms_media_arista,era5_v850_ms_min_arista,era5_v850_ms_max_arista,era5_v850_ms_cobertura_arista,era5_u200_ms_media_arista,era5_u200_ms_min_arista,era5_u200_ms_max_arista,era5_u200_ms_cobertura_arista,era5_v200_ms_media_arista,era5_v200_ms_min_arista,era5_v200_ms_max_arista,era5_v200_ms_cobertura_arista,era5_shear_200_850_ms_media_arista,era5_shear_200_850_ms_min_arista,era5_shear_200_850_ms_max_arista,era5_shear_200_850_ms_cobertura_arista,cem_distancia_tierra_km_media_arista,cem_distancia_tierra_km_min_arista,cem_distancia_tierra_km_max_arista,cem_distancia_tierra_km_cobertura_arista,cem_elevacion_cercana_m_media_arista,cem_elevacion_cercana_m_min_arista,cem_elevacion_cercana_m_max_arista,cem_elevacion_cercana_m_cobertura_arista,cem_interaccion_orografica_100km_media_arista,cem_interaccion_orografica_100km_min_arista,cem_interaccion_orografica_100km_max_arista,cem_interaccion_orografica_100km_cobertura_arista,cem_interaccion_orografica_250km_media_arista,cem_interaccion_orografica_250km_min_arista,cem_interaccion_orografica_250km_max_arista,cem_interaccion_orografica_250km_cobertura_arista,cem_interaccion_orografica_500km_media_arista,cem_interaccion_orografica_500km_min_arista,cem_interaccion_orografica_500km_max_arista,cem_interaccion_orografica_500km_cobertura_arista,cem_elevacion_max_100km_media_arista,cem_elevacion_max_100km_min_arista,cem_elevacion_max_100km_max_arista,cem_elevacion_max_100km_cobertura_arista,cem_elevacion_max_250km_media_arista,cem_elevacion_max_250km_min_arista,cem_elevacion_max_250km_max_arista,cem_elevacion_max_250km_cobertura_arista,cem_elevacion_max_500km_media_arista,cem_elevacion_max_500km_min_arista,cem_elevacion_max_500km_max_arista,cem_elevacion_max_500km_cobertura_arista,cem_pendiente_max_100km_media_arista,cem_pendiente_max_100km_min_arista,cem_pendiente_max_100km_max_arista,cem_pendiente_max_100km_cobertura_arista,cem_pendiente_max_250km_media_arista,cem_pendiente_max_250km_min_arista,cem_pendiente_max_250km_max_arista,cem_pendiente_max_250km_cobertura_arista,cem_pendiente_max_500km_media_arista,cem_pendiente_max_500km_min_arista,cem_pendiente_max_500km_max_arista,cem_pendiente_max_500km_cobertura_arista,cem_rugosidad_max_100km_media_arista,cem_rugosidad_max_100km_min_arista,cem_rugosidad_max_100km_max_arista,cem_rugosidad_max_100km_cobertura_arista,cem_rugosidad_max_250km_media_arista,cem_rugosidad_max_250km_min_arista,cem_rugosidad_max_250km_max_arista,cem_rugosidad_max_250km_cobertura_arista,cem_rugosidad_max_500km_media_arista,cem_rugosidad_max_500km_min_arista,cem_rugosidad_max_500km_max_arista,cem_rugosidad_max_500km_cobertura_arista,direccion_media_grados,meses_donde_ocurre,cem_clase_interaccion_100km_dominante_arista,cem_clase_interaccion_250km_dominante_arista,cem_clase_interaccion_500km_dominante_arista,total_salidas_origen,probabilidad_transicion,probabilidad_global,costo_probabilistico,frecuencia_norm,penalizacion_baja_frecuencia,costo_dijkstra
HDB_20,HDB_16,HDB_20 -> HDB_16,22,22,21,17.809872570720938,39.08626835103636,-4.7727272727272725,0.0,-15.0,2.5833333333333335,0.0,6.0,106.85923542432562,1956-08-24 12:00:00,2022-08-01 12:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,886.0987857155986,847.6731683515135,963.6875115604686,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,304.4160634286343,"8 (9), 9 (6), 7 (5), 10 (2)",sin_interaccion,sin_interaccion,,95,0.23157894736842105,0.1476510067114094,1.4628344382379068,1.0,0.0,1.4628344382379068
HDB_20,HDB_14,HDB_20 -> HDB_14,18,18,16,18.601237027365354,28.62169079810586,-4.166666666666667,0.0,-20.0,2.111111111111111,0.0,5.0,111.60742216419212,1957-10-03 06:00:00,2025-08-27 06:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,758.6023140603287,728.334946387376,790.4749308001889,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,298.99280732466076,"9 (6), 7 (5), 8 (5), 6 (1)",sin_interaccion,sin_interaccion,,95,0.18947368421052632,0.12080536912751678,1.6635051336990982,0.8181818181818182,0.18181818181818177,1.754414224608189
HDB_20,HDB_19,HDB_20 -> HDB_19,16,16,15,17.011745544566622,31.609502296087523,-2.8125,5.0,-15.0,2.6666666666666665,0.0,12.0,102.07047326739973,1953-08-26 18:00:00,2022-09-08 06:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,153.2057773779197,105.90257615871245,190.93104192038368,1.0,7.0,7.0,7.0,0.125,0.0,0.0,0.0,1.0,0.31039718131380967,0.25253282018680034,0.39569468528717333,1.0,0.4232675373982886,0.39685985221856385,0.4563797782517337,1.0,,,,0.0,618.5625,507.0,1040.0,1.0,2042.0,2042.0,2042.0,1.0,,,,0.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,,,,0.0,1005.0,1005.0,1005.0,1.0,1236.0,1236.0,1236.0,1.0,323.5199443213381,"9 (10), 8 (4), 7 (1), 10 (1)",sin_interaccion,baja,baja,95,0.16842105263157894,0.10738255033557047,1.7812881693548221,0.7272727272727273,0.2727272727272727,1.9176518057184584
HDB_16,HDB_15,HDB_16 -> HDB_15,13,13,12,14.908548056966527,24.161543878274202,-1.9230769230769231,5.0,-10.0,1.1666666666666667,0.0,3.0,89.45128834179917,1959-09-25 06:00:00,2020-09-16 12:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,927.0018589931101,895.0152649980831,969.8275662069647,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,291.31365996892794,"9 (7), 8 (4), 7 (2)",sin_interaccion,sin_interaccion,,13,1.0,0.087248322147651,-1.000088900581841e-12,0.5909090909090909,0.40909090909090906,0.20454545454445444
HDB_20,HDB_13,HDB_20 -> HDB_13,11,11,11,17.46335967566765,24.67022388528554,0.9090909090909091,5.0,0.0,-0.4,-2.0,0.0,104.78015805400591,1967-10-21 06:00:00,2025-07-31 18:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,844.6584940677865,799.5660859786415,903.0290864560221,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,280.9746006635602,"7 (4), 10 (3), 6 (2), 8 (1)",sin_interaccion,sin_interaccion,,95,0.11578947368421053,0.0738255033557047,2.155981618793534,0.5,0.5,2.405981618793534
HDB_13,HDB_20,HDB_13 -> HDB_20,10,10,10,22.880658456611005,32.660821061409486,-0.5,5.0,-15.0,2.6,-3.0,17.0,137.28395073966604,1967-10-21 12:00:00,2025-08-01 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,880.0390180040635,781.968180334261,947.6420123919183,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,299.5851492315992,"10 (4), 6 (3), 8 (2), 9 (1)",sin_interaccion,sin_interaccion,,10,1.0,0.06711409395973154,-1.000088900581841e-12,0.45454545454545453,0.5454545454545454,0.2727272727262726
HDB_20,HDB_10,HDB_20 -> HDB_10,8,8,8,20.863715247028665,28.612761328213892,-5.0,0.0,-15.0,3.6666666666666665,3.0,4.0,125.182291482172,1966-08-04 18:00:00,2018-07-05 12:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,1180.8207492805604,1100.8795590781715,1211.6613583399999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,286.3126107937888,"7 (5), 8 (3)",sin_interaccion,sin_interaccion,,95,0.08421052631578947,0.053691275167785234,2.47443534990883,0.36363636363636365,0.6363636363636364,2.7926171680906484
HDB_11,HDB_20,HDB_11 -> HDB_20,6,6,6,15.119471161034552,17.95735888105461,4.166666666666667,10.0,0.0,-2.6666666666666665,-7.0,1.0,90.7168269662073,1972-08-23 06:00:00,2005-10-16 12:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,680.9574563137036,641.2911413270647,706.8724108994577,1.0,1.3333333333333333,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,296.219906566378,"10 (2), 6 (1), 7 (1), 8 (1)",sin_interaccion,sin_interaccion,,6,1.0,0.040268456375838924,-1.000088900581841e-12,0.2727272727272727,0.7272727272727273,0.36363636363536356
HDB_20,HDB_17,HDB_20 -> HDB_17,6,6,6,21.161936950467023,36.33702284355393,-2.5,0.0,-10.0,1.0,0.0,3.0,126.97162170280212,1966-09-13 18:00:00,2018-10-12 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,406.30997864044986,388.5142406028017,443.2786622520846,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.18731233019514038,0.13833612383407468,0.22784014991673604,1.0,,,,0.0,0.0,0.0,0.0,1.0,1118.8333333333333,609.0,1738.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,,,,0.0,0.0,0.0,0.0,1.0,1005.3333333333334,1005.0,1006.0,1.0,353.70451316146534,"9 (2), 10 (2), 6 (1), 8 (1)",sin_interaccion,sin_interaccion,muy_baja,95,0.06315789473684211,0.040268456375838924,2.7621174223566523,0.2727272727272727,0.7272727272727273,3.125753785993016
HDB_7,HDB_5,HDB_7 -> HDB_5,5,5,5,16.32874515084266,20.742287208526665,-4.0,0.0,-5.0,1.2,0.0,2.0,97.97247090505596,1990-07-12 00:00:00,2014-07-06 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,549.9797910097602,474.22072587008773,576.0362168595586,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03212329340140314,0.0,0.16061646700701568,1.0,,,,0.0,0.0,0.0,0.0,1.0,1230.0,1230.0,1230.0,0.2,,,,0.0,0.0,0.0,0.0,1.0,33.84784342957889,33.84784342957889,33.84784342957889,0.2,,,,0.0,0.0,0.0,0.0,1.0,1222.0,1222.0,1222.0,0.2,303.8970325899301,"7 (3), 8 (1), 9 (1)",sin_interaccion,sin_interaccion,muy_baja,9,0.5555555555555556,0.03355704697986577,0.5877866649003191,0.22727272727272727,0.7727272727272727,0.9741503012639554
HDB_20,HDB_9,HDB_20 -> HDB_9,5,5,5,13.963360015033839,15.676917204640176,-4.0,0.0,-10.0,3.3333333333333335,0.0,6.0,83.78016009020303,1949-06-22 18:00:00,2009-10-03 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,488.73823845416166,455.87205521620723,511.87321083751357,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0725701646532205,0.0,0.14167809387996624,1.0,,,,0.0,0.0,0.0,0.0,1.0,688.3333333333334,473.0,876.0,0.6,,,,0.0,0.0,0.0,0.0,1.0,33.87203527971346,33.87203527971346,33.87203527971346,0.6,,,,0.0,0.0,0.0,0.0,1.0,1005.6666666666666,1005.0,1006.0,0.6,5.961250673162624,"9 (2), 10 (2), 6 (1)",sin_interaccion,sin_interaccion,muy_baja,95,0.05263157894736842,0.03355704697986577,2.9444389791474403,0.22727272727272727,0.7727272727272727,3.3308026155110766
HDB_7,HDB_4,HDB_7 -> HDB_4,4,4,4,19.272705600373655,22.127350970435526,-7.5,0.0,-20.0,0.5,0.0,1.0,115.63623360224193,1971-08-06 18:00:00,2016-08-24 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,664.3614699122492,642.0996977015509,681.6413845499662,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1.0,,,,0.0,286.7128409433501,"7 (2), 8 (2)",sin_interaccion,sin_interaccion,,9,0.4444444444444444,0.026845637583892617,0.8109302162140789,0.18181818181818182,0.8181818181818181,1.220021125304988
HDB_19,HDB_18,HDB_19 -> HDB_18,3,3,3,23.977451160554324,29.967865643020616,-1.6666666666666667,0.0,-5.0,2.5,1.0,4.0,143.86470696332594,1969-08-24 12:00:00,1995-08-12 00:00:00,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,234.20085063289346,216.22550487778716,248.8802775365783,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.13047578011151192,0.0,0.2144956625605557,1.0,0.36447407566844325,0.35629538728722765,0.37915372814838144,1.0,,,,0.0,242.0,0.0,449.0,1.0,1995.6666666666667,1903.0,2042.0,1.0,,,,0.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,33.87203527971346,33.87203527971346,33.87203527971346,1.0,,,,0.0,1005.0,1005.0,1005.0,1.0,1236.0,1236.0,1236.0,1.0,298.3996145267239,8 (3),sin_interaccion,muy_baja,baja,3,1.0,0.020134228187919462,-1.000088900581841e-12,0.13636363636363635,0.8636363636363636,0.43181818181718173
